"latitude","longitude","id","data"
38.88992,-90.04599,"ALN","ASOS"
38.54537,-89.85154,"BLV","ASOS"
40.47711,-88.91592,"BMI","ASOS"
38.57073,-90.15622,"CPS","ASOS"
37.0647,-89.2196,"CIR","ASOS"
37.78,-89.25,"MDH","ASOS"
38.08948,-88.12306,"CUL","ASOS"
38.51508,-89.09114,"ENL","ASOS"
40.0324,-88.2755,"CMI","ASOS"
41.78597,-87.75242,"MDW","ASOS"
41.77,-88.48,"ARR","ASOS"
41.90778,-88.24861,"DPA","ASOS"
41.53492,-87.52953,"IGQ","ASOS"
41.8588,-87.6079,"CGX","ASOS"
41.98754,-87.93193,"ORD","ASOS"
41.99127,-88.105,"06C","ASOS"
40.1997,-87.59552,"DNV","ASOS"
39.83456,-88.86569,"DEC","ASOS"
41.93383,-88.70569,"DKB","ASOS"
39.07045,-88.53352,"1H2","ASOS"
38.37863,-88.41265,"FWC","ASOS"
38.66499,-88.45311,"FOA","ASOS"
42.24616,-89.58199,"FEP","ASOS"
40.938,-90.43114,"GBG","ASOS"
37.81126,-88.55026,"HSB","ASOS"
39.77461,-90.23827,"IJX","ASOS"
41.51769,-88.17561,"JOT","ASOS"
41.07139,-87.84628,"IKK","ASOS"
41.01929,-89.38642,"C75","ASOS"
38.76428,-87.6055,"LWV","ASOS"
40.15869,-89.33503,"AAA","ASOS"
39.16249,-89.67464,"3LF","ASOS"
40.52,-90.65,"MQB","ASOS"
37.75497,-89.01108,"MWA","ASOS"
39.47794,-88.27924,"MTO","ASOS"
37.18589,-88.75061,"M30","ASOS"
41.44853,-90.50754,"MLI","ASOS"
41.42528,-88.41861,"C09","ASOS"
38.60655,-87.72669,"AJG","ASOS"
39.9875,-90.8042,"I63","ASOS"
38.32333,-88.85833,"MVN","ASOS"
38.72183,-88.17643,"OLY","ASOS"
42.12083,-87.90472,"PWK","ASOS"
39.7,-87.67,"PRG","ASOS"
40.6675,-89.6839,"PIA","ASOS"
41.35187,-89.15308,"VYS","ASOS"
39.63886,-90.77843,"PPQ","ASOS"
40.92444,-88.62394,"PNT","ASOS"
39.94285,-91.19458,"UIN","ASOS"
40.29356,-88.14239,"TIP","ASOS"
39.01604,-87.64978,"RSV","ASOS"
41.893,-89.07829,"RPJ","ASOS"
42.19151,-89.0876,"RFD","ASOS"
41.60811,-88.09619,"LOT","ASOS"
38.64287,-88.96419,"SLO","ASOS"
42.04583,-90.10794,"SFY","ASOS"
38.15,-89.7,"SAR","ASOS"
39.8447,-89.6839,"SPI","ASOS"
41.74283,-89.67631,"SQI","ASOS"
39.53417,-89.32778,"TAZ","ASOS"
42.42216,-87.86791,"UGN","ASOS"
42.1153,-88.1639,"GHCND:USC00110442","GHCND"
42.13987,-87.78537,"GHCND:USC00111497","GHCND"
41.8558,-87.6094,"GHCND:USC00111550","GHCND"
41.73727,-87.77734,"GHCND:USC00111577","GHCND"
41.7091,-87.8761,"GHCND:USC00115110","GHCND"
41.49453,-87.67951,"GHCND:USC00116616","GHCND"
42.12076,-87.90479,"GHCND:USW00004838","GHCND"
41.78412,-87.75514,"GHCND:USW00014819","GHCND"
41.96017,-87.93164,"GHCND:USW00094846","GHCND"
